height,distance,n,avg_correlation,max_correlation,elapsed_time,valid_samples,peo_3rd_correlation,keo_3rd_correlation
0.2,2800,5,0.7035269214952626,0.713391006823124,1.2007899284362793,70,0.6936628361674013,0.713391006823124
0.2,2900,5,0.6693242445439141,0.6833154973332948,1.1991796493530273,70,0.6553329917545335,0.6833154973332948
0.2,3000,5,0.6485404905872197,0.6514644434063929,1.211287021636963,70,0.6456165377680466,0.6514644434063929
0.2,3100,5,0.6330212110635389,0.6430518332193517,1.2748606204986572,70,0.6430518332193517,0.6229905889077261
0.2,2000,6,0.5964098348644868,0.613371899232291,1.2550866603851318,70,0.5794477704966827,0.613371899232291
0.2,2100,6,0.6373232268644577,0.6598705788758165,1.2451274394989014,70,0.614775874853099,0.6598705788758165
0.2,2200,6,0.6484486707676856,0.6868012793088585,1.23465895652771,70,0.6100960622265128,0.6868012793088585
0.2,2300,6,0.6689165834429972,0.7104609925598949,1.2421016693115234,70,0.6273721743260995,0.7104609925598949
0.2,2400,6,0.7013371719145803,0.7289300918150134,1.2473564147949219,70,0.6737442520141472,0.7289300918150134
0.2,2500,6,0.7107111097398264,0.7297838573281205,1.355804443359375,70,0.6916383621515324,0.7297838573281205
0.2,2600,6,0.7147837189181964,0.7328848362088282,1.4004828929901123,70,0.6966826016275646,0.7328848362088282
0.2,2700,6,0.6999001865401435,0.7222816886218048,1.3358864784240723,70,0.6775186844584822,0.7222816886218048
0.2,2800,6,0.6923692703713362,0.6965064823804192,1.3648948669433594,70,0.6965064823804192,0.6882320583622533
0.2,2900,6,0.655341481661522,0.664183864675848,1.2624893188476562,70,0.6464990986471958,0.664183864675848
0.2,3000,6,0.6299557538268039,0.6357688990846205,1.2590794563293457,70,0.6357688990846205,0.6241426085689874
0.2,3100,6,0.620029580889415,0.6314416593404705,1.2390377521514893,70,0.6314416593404705,0.6086175024383595
0.2,2000,7,0.58765307542581,0.59199652825969,1.322789192199707,70,0.5833096225919302,0.59199652825969
0.2,2100,7,0.6263281657650943,0.6394402908557612,1.290459394454956,70,0.6132160406744275,0.6394402908557612
0.2,2200,7,0.6431150842277044,0.6765984331343333,1.2838444709777832,70,0.6096317353210754,0.6765984331343333
0.2,2300,7,0.6687934603363944,0.699220179829663,1.264610767364502,70,0.6383667408431258,0.699220179829663
0.2,2400,7,0.6944655804055264,0.7154951000601218,1.246143102645874,70,0.6734360607509309,0.7154951000601218
0.2,2500,7,0.7037606921765758,0.7121634146089076,1.2754693031311035,70,0.6953579697442438,0.7121634146089076
0.2,2600,7,0.7068066396431665,0.7203822715670088,1.274808406829834,70,0.6932310077193242,0.7203822715670088
0.2,2700,7,0.6975314448112522,0.7138374789493197,1.250880241394043,70,0.6812254106731845,0.7138374789493197
0.2,2800,7,0.6875473479023628,0.694130740410132,1.249375581741333,70,0.694130740410132,0.6809639553945935
0.2,2900,7,0.6559943923251701,0.6603021907776259,1.2624390125274658,70,0.6516865938727142,0.6603021907776259
0.2,3000,7,0.6312086337474041,0.6427293412168718,1.2658021450042725,70,0.6427293412168718,0.6196879262779363
0.2,3100,7,0.6133177239122625,0.6259374852827679,1.2571427822113037,70,0.6259374852827679,0.600697962541757
0.2,2000,8,0.6033570914094477,0.6334801330443873,1.270211935043335,70,0.6334801330443873,0.5732340497745082
0.2,2100,8,0.6405833004956312,0.6632377400303167,1.279294490814209,70,0.6632377400303167,0.6179288609609456
0.2,2200,8,0.6585332295883792,0.6606981412874451,1.3174707889556885,70,0.6606981412874451,0.6563683178893135
0.2,2300,8,0.6852061202979427,0.6907307402595229,1.299760103225708,70,0.6907307402595229,0.6796815003363624
0.2,2400,8,0.7079181261204697,0.718743445467024,1.3588314056396484,70,0.718743445467024,0.6970928067739154
